Product Name,"ZEBRONICS Gt610 2Gd3 with Pcie 2.0,Multiconnectivity Hdmi Dvi Vga,High Efficiency,Heatsink with Fan.,pci_e,ddr3_sdram,2 GB"
Product Price,"₹1,530"
Product URL,https://www.amazon.in/ZEBRONICS-Multiconnectivity-Efficiency-Heatsink-ddr3_sdram/dp/B09WN8VNQQ/ref=sr_1_1?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-1
Rating,3.6 out of 5 stars
Reviews,530
Product URL,https://www.amazon.in/ZEBRONICS-Multiconnectivity-Efficiency-Heatsink-ddr3_sdram/dp/B09WN8VNQQ/ref=sr_1_1?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-1
Product URL,https://www.amazon.in/ZEBRONICS-Multiconnectivity-Efficiency-Heatsink-ddr3_sdram/dp/B09WN8VNQQ/ref=sr_1_1?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-1
Product URL,https://www.amazon.in/ZEBRONICS-Multiconnectivity-Efficiency-Heatsink-ddr3_sdram/dp/B09WN8VNQQ/ref=sr_1_1?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-1
Product URL,https://www.amazon.in/ZEBRONICS-Multiconnectivity-Efficiency-Heatsink-ddr3_sdram/dp/B09WN8VNQQ/ref=sr_1_1?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-1
Product URL,https://www.amazon.in/ZEBRONICS-Multiconnectivity-Efficiency-Heatsink-ddr3_sdram/dp/B09WN8VNQQ/ref=sr_1_1?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-1
